,18S-LM-6-1,18S-LM-6-16,18S-LM-6-19,18S-LM-6-8,18S-LM-7-14,18S-LM-7-22,18S-LM-7-28,18S-LM-7-8,18S-LM-8-12,18S-LM-8-18,18S-LM-8-26,18S-LM-8-4,18S-LM-9-1,18S-LM-9-16,18S-LM-9-9,18S-LR-6-1,18S-LR-6-16,18S-LR-6-19,18S-LR-6-8,18S-LR-7-14,18S-LR-7-22,18S-LR-7-28,18S-LR-7-8,18S-LR-8-12,18S-LR-8-18,18S-LR-8-26,18S-LR-8-4,18S-LR-9-1,18S-LR-9-16,18S-LR-9-9,18S-TTL-6-1,18S-TTL-6-16,18S-TTL-6-19,18S-TTL-6-8,18S-TTL-7-14,18S-TTL-7-22,18S-TTL-7-28,18S-TTL-7-8,18S-TTL-8-12,18S-TTL-8-18,18S-TTL-8-26,18S-TTL-8-4,18S-TTL-9-1,18S-TTL-9-16,18S-TTL-9-9
ASV_1,39066,527,37746,54,37094,384,323,7162,103880,191823,5937,256501,944,155518,90402,321,31,20,116,68,26,58,70,203,121,77,7045,143773,30651,94666,58359,94,68270,263,20379,28466,80,24673,108673,143932,122033,101057,202244,194640,122431
ASV_2,23,9465,19217,15,2330,9968,30434,0,0,18,2030,709,3184,577,0,6227,12,0,41,63,0,23,0,47961,31,26,0,5,19,15729,79,30,61,87,797,73060,57496,4734,2556,7,1473,2435,12,9,30
ASV_3,0,0,0,0,87,0,1276,0,59,278,20436,0,77259,260,112254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,120,0,38,0,0,0,0,0,0
ASV_4,0,0,0,0,1210,3856,79657,6805,0,0,17300,904,3216,0,2613,0,0,0,0,0,0,0,0,0,0,0,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5,33,193,933,90,0,0,0,0,0,0,0,0,0,0,0,30718,760,5999,1753,8680,891,571,19041,1421,13667,2579,1745,345,1639,1983,0,47,0,0,7113,554,1625,14100,440,100,69,3975,266,119,0
ASV_6,0,0,0,0,7,0,0,0,0,0,0,0,0,10,14,1402,2036,3415,3640,32384,2436,1775,31838,2058,4934,7919,2143,1254,170,1979,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0
ASV_7,25,355,91,89617,0,0,0,0,28,0,0,0,0,0,0,108,0,0,61,47,0,0,17,26,33,0,0,0,15,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
ASV_8,12,18,0,304,0,0,0,0,59,99,0,27,0,0,0,682,559,411,2834,6365,4078,322,826,14474,5625,1883,1730,422,21541,768,0,0,0,0,23,0,0,0,51,422,38,3591,154,295,0
ASV_9,0,0,0,0,260,35,1169,23,47,479,510,0,211,13132,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27595,636,758,3480,68,0,0,1443,0,0,0
ASV_10,879,0,844,0,881,0,0,99,2598,2086,110,5906,0,1783,1027,0,0,0,0,0,0,0,0,0,0,0,185,2952,505,2659,1460,0,1600,0,510,780,0,605,2440,3484,2774,2408,5378,5113,2536
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,24,0,71,5759,485,111,3999,700,2160,5799,2185,614,5585,14494,0,0,0,0,352,0,0,36,0,0,0,200,0,0,0
ASV_12,13345,842,0,1290,133,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,0,0,10,39,186,241,0,14802,0,0,3546,0,0,0,810,0,0,41
